Sphere_evaluation_file Voltage	Sphere_evaluation_file Current	Sphere_evaluation_file Current density	Sphere_evaluation_file PD current	Sphere_evaluation_file Radiant flux	Sphere_evaluation_file Luminous flux	Sphere_evaluation_file Irradiance	Sphere_evaluation_file Luminance	Sphere_evaluation_file EQE	Sphere_evaluation_file P_eff
V	A	mA/cm^2	A	W	lm	W/m^2	cd/m^2	%	lm/W

-2.683888e-05	-2.490337e-10	-3.921790551181103e-06	7.105427358000003e-13	2.733285747589264e-10	1.216710964258149e-07	4.304387004077582e-05	0.006099072890576089	50.348185664098544	18203919.73722106
0.09997585	-2.470177e-11	-3.89004251968504e-07	1.3073986337000012e-12	5.029245774902607e-10	2.238748173940468e-07	7.9200720864608e-05	0.011222294117183616	933.967352587483	90652.97596993436
0.1999607	-1.517419e-10	-2.389636220472441e-06	2.714273250700001e-12	1.0441151555575569e-09	4.647835883370236e-07	0.00016442758355237117	0.02329845844151997	315.6456375089698	15317.948973289484
0.2999344	-1.024197e-10	-1.6129086614173228e-06	3.2116531657e-12	1.2354451578657246e-09	5.499533558248196e-07	0.0001945582925772795	0.0275678094644082	553.3461359115067	17902.598770672445
0.3998688	-1.269965e-11	-1.999944881889764e-07	3.1263880369999976e-13	1.2026457287392434e-10	5.3535282418454174e-08	1.8939302814791237e-05	0.0026835920714071244	434.41305731559953	10542.189696668214
0.4999466	4.802918e-11	7.563650393700789e-07	1.2931877787000003e-12	4.974580058858338e-10	2.2144139541689906e-07	7.8339843446588e-05	0.01110031265693432	475.1253056335548	9222.104057742108
0.5999432	-5.808778e-11	-9.147681889763781e-07	4.2632564150000085e-13	1.6399714486304963e-10	7.30026578589138e-08	2.582632202567711e-05	0.003659443734517333	129.51152512427547	2094.805752933653
0.6999297	-1.772693e-10	-2.79164251968504e-06	3.8369307729999964e-13	1.4759743035751045e-10	6.570239206446038e-08	2.324368982008039e-05	0.003293499360636406	38.19461847095192	529.5332430421563
0.800007	1.320618e-11	2.0797133858267718e-07	1.4637180357000003e-12	5.630568639849239e-10	2.506424586289593e-07	8.867037228109038e-05	0.012564090154174723	1955.8338312396813	23723.766593238535
0.8999632	-7.617541e-11	-1.199612755905512e-06	2.060573933700001e-12	7.926528667547256e-10	3.528461796143148e-07	0.00012482722311098042	0.017687311381640616	477.3370487157597	5146.901629811394
0.9999824	-3.84365e-11	-6.052992125984252e-07	1.0658141036999997e-12	4.099928621383894e-10	1.8250664463872223e-07	6.456580506116369e-05	0.009148609335864127	489.3159482868137	4748.347451308056
1.100005	-1.434788e-11	-2.259508661417323e-07	3.879563337700001e-12	1.4923740182729828e-09	6.643241865246761e-07	0.00023501953043669023	0.03330093798453685	4771.411282274525	42091.816597992714
 1.19997	-3.336525e-11	-5.254370078740158e-07	2.7000623960000016e-13	1.0386485840685336e-10	4.6235016641124726e-08	1.6356670615252498e-05	0.0023176476983845797	142.80097066055356	1154.798593982221
1.299999	-7.389333e-11	-1.1636744881889764e-06	1.2931877787000003e-12	4.974580058858338e-10	2.2144139541689906e-07	7.8339843446588e-05	0.01110031265693432	308.8219035037265	2305.2103074335464
1.399981	1.265496e-10	1.992907086614173e-06	9.947598296999998e-13	3.82660004500933e-10	1.703395349242213e-07	6.0261418031643e-05	0.008538702043201373	138.71045773746394	961.4629176816645
