Spectrometer Wavelength	Spectrometer Intensity
nm	W/nm

173.65472	     0.0
174.043878385904	     0.0
174.43299532146017	     0.0
174.8220708034346	     0.0
175.2111048285934	     0.0
175.60009739370275	     0.0
175.98904849552875	     0.0
176.37795813083753	     0.0
176.76682629639527	     0.0
177.155652988968	     0.0
177.54443820532197	     0.0
177.93318194222323	     0.0
178.32188419643796	     0.0
178.71054496473226	     0.0
179.0991642438723	     0.0
179.48774203062413	     0.0
179.876278321754	     0.0
180.26477311402795	     0.0
180.65322640421215	     0.0
181.04163818907267	     0.0
181.43000846537578	     0.0
181.81833722988745	     0.0
182.20662447937391	     0.0
182.59487021060133	     0.0
182.98307442033573	     0.0
183.37123710534325	     0.0
183.75935826239012	     0.0
184.14743788824242	     0.0
184.53547597966627	     0.0
184.92347253342783	     0.0
185.31142754629317	     0.0
185.6993410150285	     0.0
186.0872129363999	     0.0
186.47504330717354	     0.0
186.8628321241155	     0.0
187.25057938399198	     0.0
187.63828508356903	     0.0
188.02594921961284	     0.0
188.41357178888953	     0.0
188.80115278816524	     0.0
189.18869221420607	     0.0
189.5761900637782	     0.0
189.96364633364772	     0.0
190.35106102058077	     0.0
190.7384341213435	     0.0
191.125765632702	     0.0
191.51305555142247	     0.0
191.90030387427097	     0.0
192.2875105980137	     0.0
192.67467571941674	     0.0
193.06179923524627	     0.0
193.44888114226833	     0.0
193.83592143724914	     0.0
194.22292011695484	     0.0
194.6098771781515	     0.0
194.99679261760522	     0.0
195.3836664320823	     0.0
195.77049861834868	     0.0
196.15728917317062	     0.0
196.54403809331416	     0.0
196.9307453755455	     0.0
197.31741101663076	     0.0
197.70403501333607	     0.0
198.09061736242754	     0.0
198.47715806067131	     0.0
198.86365710483352	     0.0
199.25011449168028	     0.0
199.63653021797776	     0.0
200.02290428049204	     0.0
200.40923667598935	     0.0
200.79552740123574	     0.0
201.1817764529973	     0.0
201.56798382804024	     0.0
201.9541495231307	     0.0
202.34027353503475	     0.0
202.7263558605186	     0.0
203.1123964963483	     0.0
203.49839543929002	     0.0
203.8843526861099	     0.0
204.2702682335741	     0.0
204.65614207844862	     0.0
205.04197421749976	     0.0
205.42776464749355	     0.0
205.81351336519617	     0.0
206.1992203673737	     0.0
206.58488565079233	     0.0
206.97050921221813	     0.0
207.3560910484173	     0.0
207.74163115615593	     0.0
208.12712953220014	     0.0
208.51258617331612	     0.0
208.89800107626996	     0.0
209.2833742378278	     0.0
209.6687056547557	     0.0
210.05399532381995	     0.0
210.43924324178656	     0.0
210.82444940542166	     0.0
211.2096138114914	     0.0
211.594736456762	     0.0
211.97981733799946	     0.0
212.36485645197	     0.0
212.7498537954397	     0.0
213.13480936517473	     0.0
213.5197231579412	     0.0
213.90459517050525	     0.0
214.289425399633	     0.0
214.67421384209064	     0.0
215.0589604946442	     0.0
215.44366535405987	     0.0
215.82832841710376	     0.0
216.21294968054207	     0.0
216.59752914114085	     0.0
216.98206679566627	     0.0
217.36656264088444	     0.0
217.75101667356148	     0.0
218.13542889046363	     0.0
218.5197992883569	     0.0
218.90412786400742	     0.0
219.2884146141814	     0.0
219.67265953564493	     0.0
220.05686262516417	     0.0
220.4410238795052	     0.0
220.82514329543415	     0.0
221.20922086971726	     0.0
221.5932565991205	     0.0
221.97725048041016	     0.0
222.36120251035226	     0.0
222.745112685713	     0.0
223.12898100325842	     0.0
223.51280745975478	     0.0
223.89659205196807	     0.0
224.28033477666457	     0.0
224.66403563061027	     0.0
225.04769461057145	     0.0
225.4313117133141	     0.0
225.81488693560442	     0.0
226.19842027420856	     0.0
226.5819117258926	     0.0
226.96536128742272	     0.0
227.34876895556505	     0.0
227.73213472708565	     0.0
228.11545859875076	     0.0
228.49874056732645	     0.0
228.88198062957883	     0.0
229.26517878227406	     0.0
229.6483350221783	     0.0
230.03144934605763	     0.0
230.4145217506782	     0.0
230.79755223280617	     0.0
231.1805407892076	     0.0
231.56348741664874	     0.0
231.94639211189562	     0.0
232.32925487171443	     0.0
232.71207569287122	     0.0
233.09485457213225	     0.0
233.47759150626354	     0.0
233.86028649203126	     0.0
234.24293952620155	     0.0
234.62555060554055	     0.0
235.00811972681436	     0.0
235.3906468867891	     0.0
235.77313208223097	     0.0
236.15557530990608	     0.0
236.5379765665805	     0.0
236.92033584902043	     0.0
237.30265315399197	     0.0
237.6849284782613	     0.0
238.06716181859446	     0.0
238.44935317175762	     0.0
238.831502534517	     0.0
239.21360990363863	     0.0
239.59567527588865	     0.0
239.9776986480332	     0.0
240.35968001683844	     0.0
240.74161937907053	     0.0
241.12351673149547	     0.0
241.5053720708795	     0.0
241.88718539398874	     0.0
242.26895669758935	     0.0
242.6506859784474	     0.0
243.03237323332903	     0.0
243.4140184590004	     0.0
243.79562165222762	     0.0
244.17718280977687	     0.0
244.5587019284142	     0.0
244.9401790049058	     0.0
245.3216140360178	     0.0
245.7030070185163	     0.0
246.08435794916744	     0.0
